file	part	entropy	npvi	meter	file	part	sus	lnt	unt	ant
chor200.krn	 2	 4.77598	 41.0275	 *M4/4	chor200.hrm	 4	 1	 1	 0	 0
chor200.krn	 3	 4.93633	 53.8017	 *M4/4	chor200.hrm	 4	 6	 1	 1	 0
chor200.krn	 4	 3.52858	 22.4	 *M4/4	chor200.hrm	 4	 0	 0	 0	 0
chor201.krn	 1	 5.07422	 26.3361	 *M4/4	chor201.hrm	 4	 0	 0	 0	 0
chor201.krn	 2	 4.91453	 34.1727	 *M4/4	chor201.hrm	 4	 3	 4	 0	 0
chor201.krn	 3	 5.25569	 45.2578	 *M4/4	chor201.hrm	 4	 8	 11	 0	 0
chor201.krn	 4	 3.83007	 12.5	 *M4/4	chor201.hrm	 4	 0	 0	 0	 0
chor217.krn	 1	 4.89458	 36.4706	 *M3/4	chor217.hrm	 4	 0	 0	 0	 0
chor217.krn	 2	 4.67431	 32.1164	 *M3/4	chor217.hrm	 4	 0	 0	 0	 0
chor217.krn	 3	 4.5472	 28	 *M3/4	chor217.hrm	 4	 1	 0	 0	 0
chor217.krn	 4	 4.46398	 29.0196	 *M3/4	chor217.hrm	 4	 0	 0	 0	 0
chor223.krn	 1	 4.81668	 27.4921	 *M4/4	chor223.hrm	 4	 2	 0	 0	 0
chor223.krn	 2	 5.06272	 39.7919	 *M4/4	chor223.hrm	 4	 0	 0	 0	 0
chor223.krn	 3	 5.41784	 50.5911	 *M4/4	chor223.hrm	 4	 12	 5	 0	 0
chor223.krn	 4	 3.92522	 12.0988	 *M4/4	chor223.hrm	 4	 0	 0	 0	 0
chor224.krn	 1	 4.04349	 23.9216	 *M4/4	chor224.hrm	 4	 2	 0	 0	 0
chor224.krn	 2	 4.43825	 30.7519	 *M4/4	chor224.hrm	 4	 2	 0	 0	 0
chor224.krn	 3	 4.52406	 40.2574	 *M4/4	chor224.hrm	 4	 5	 1	 0	 0
chor224.krn	 4	 3.75279	 11.7647	 *M4/4	chor224.hrm	 4	 0	 0	 0	 0
chor248.krn	 1	 4.54338	 18.7037	 *M4/4	chor248.hrm	 4	 0	 0	 0	 0
chor248.krn	 2	 4.63795	 26.8421	 *M4/4	chor248.hrm	 4	 4	 1	 0	 0
chor248.krn	 3	 4.18409	 27.9812	 *M4/4	chor248.hrm	 4	 2	 0	 0	 0
chor248.krn	 4	 4.05722	 14.5833	 *M4/4	chor248.hrm	 4	 0	 0	 0	 0
chor255.krn	 1	 4.98286	 27.2556	 *M4/4	chor255.hrm	 4	 0	 11	 1	 0
chor255.krn	 2	 4.50025	 37.3688	 *M4/4	chor255.hrm	 4	 1	 2	 1	 0
chor255.krn	 3	 4.57801	 39.9683	 *M4/4	chor255.hrm	 4	 1	 2	 1	 1
chor255.krn	 4	 4.11424	 33.8667	 *M4/4	chor255.hrm	 4	 0	 0	 0	 0
chor258.krn	 1	 4.67129	 42.914	 *M4/4	chor258.hrm	 4	 1	 0	 0	 0
