"","major_pitches","major_durations"
"939","G4",1.5
"940","A4",0.25
"941","B4",0.25
"942","G4",1
"943","A4",0.5
"944","C5",0.5
"945","B4",0.25
"946","A4",0.25
"947","B4",0.5
"948","A4",0.25
"949","G4",0.25
"950","A4",0.5
"951","G4",0.25
"952","F#4",0.25
"953","G4",0.25
"954","A4",0.25
"955","B4",0.25
"956","C5",0.25
"957","D5",0.5
"958","C5",0.25
"959","B4",0.25
"960","A4",0.25
"961","B4",0.25
"962","C5",0.25
"963","A4",0.25
"964","B4",1.5
"965","D5",0.5
"966","G5",0.5
"967","F#5",0.25
"968","E5",0.25
"969","F#5",1
"970","C5",0.5
"971","B4",0.25
"972","A4",0.25
"973","B4",1
"974","A4",0.25
"975","B4",0.25
"976","C5",0.25
"977","D5",0.25
"978","B4",0.25
"979","G4",0.25
"980","A4",0.25
"981","F#4",0.25
"982","G4",2
"983","D4",0.25
"984","G4",0.25
"985","B4",0.25
"986","G4",0.25
"987","A4",0.25
"988","G4",0.25
"989","A4",0.25
"990","G4",0.25
"991","B4",0.25
"992","C5",0.25
"993","B4",0.25
"994","A4",0.25
"995","A4",0
"996","B4",0
"997","A4",0.25
"998","G4",0.25
"999","B4",0.25
"1000","G4",0.25
"1001","D4",0.25
"1002","G4",0.25
"1003","B4",0.25
"1004","G4",0.25
"1005","A4",0.25
"1006","G4",0.25
"1007","A4",0.25
"1008","G4",0.25
"1009","B4",0.25
"1010","C5",0.25
"1011","B4",0
"1012","C5",0
"1013","B4",0.25
"1014","A4",0.25
"1015","G4",1
"1016","A4",0.25
"1017","B4",0.25
"1018","C5",0.25
"1019","D5",0.25
"1020","B4",0.25
"1021","G4",0.25
"1022","A4",0.25
"1023","G4",0.25
"1024","B4",0.25
"1025","C5",0.25
"1026","B4",0.25
"1027","A4",0.25
"1028","A4",0.25
"1029","G4",0.25
"1030","B4",0.25
"1031","G4",0.25
"1032","A4",0.25
"1033","B4",0.25
"1034","C5",0.25
"1035","D5",0.25
"1036","B4",0.25
"1037","G4",0.25
"1038","A4",0.25
"1039","G4",0.25
"1040","B4",0.25
"1041","C5",0.25
"1042","B4",0.25
"1043","A4",0.25
"1044","G4",1
"1045","D4",0.25
"1046","G4",0.25
"1047","A4",0.25
"1048","B4",0.125
"1049","C5",0.125
"1050","B4",0.125
"1051","C5",0.125
"1052","B4",0.25
"1053","G4",0.25
"1054","A4",0.125
"1055","B4",0.125
"1056","A4",0.125
"1057","B4",0.125
"1058","G4",0.5
"1059","B4",0.25
"1060","C5",0.25
"1061","D5",0.25
"1062","B4",0.25
"1063","A4",0.125
"1064","B4",0.125
"1065","A4",0.125
"1066","B4",0.125
"1067","G4",0.5
"1068","B4",0.25
"1069","C5",0.25
"1070","D5",0.25
"1071","E5",0.25
"1072","F5",0.25
"1073","E5",0.25
"1074","D5",0.25
"1075","C#5",0.25
"1076","E5",0
"1077","D5",0.5
"1078","G5",1
"1079","B4",0.125
"1080","C5",0.125
"1081","B4",0.125
"1082","C5",0.125
"1083","B4",0.25
"1084","G4",0.25
"1085","A4",0.125
"1086","B4",0.125
"1087","A4",0.125
"1088","B4",0.125
"1089","G4",0.5
"1090","B4",0.25
"1091","C5",0.25
"1092","D5",0.25
"1093","B4",0.25
"1094","A4",0.125
"1095","B4",0.125
"1096","A4",0.125
"1097","B4",0.125
"1098","G4",0.5
"1099","B4",0.25
"1100","C5",0.25
"1101","D5",0.25
"1102","E5",0.25
"1103","D5",0
"1104","E5",0
"1105","D5",0.25
"1106","B4",0.25
"1107","B4",0
"1108","D5",0
"1109","C5",0.25
"1110","A4",0.25
"1111","G4",1.5
"1112","G4",0.25
"1113","A4",0.25
"1114","G4",2
"1115","G4",0.5
"1116","A4",0.25
"1117","B4",0.25
"1118","C5",0.25
"1119","D5",0.25
"1120","E5",0.25
"1121","F5",0.25
"1122","G5",0.5
"1123","D5",0.25
"1124","E5",0.25
"1125","F5",0.25
"1126","E5",0.25
"1127","D5",0.25
"1128","C5",0.25
"1129","B4",0.5
"1130","D5",0.5
"1131","D5",0.25
"1132","C5",0.25
"1133","C5",0.25
"1134","B4",0.25
"1135","B4",0.25
"1136","A4",0.25
"1137","A4",0.25
"1138","G4",0.25
"1139","B4",1
"1140","B4",0.25
"1141","A4",0.25
"1142","A4",0.25
"1143","G4",0.25
"1144","G4",1
"1145","B4",0.5
"1146","D5",0.5
"1147","D5",0.25
"1148","C5",0.25
"1149","C5",0.25
"1150","B4",0.25
"1151","E5",0.5
"1152","G5",0
"1153","F5",0.5
"1154","D5",0.25
"1155","C5",0.25
"1156","C5",0.25
"1157","B4",0.25
"1158","B4",0.5
"1159","D5",0.5
"1160","D5",0.25
"1161","C5",0.25
"1162","C5",0.25
"1163","B4",0.25
"1164","B4",0.25
"1165","A4",0.25
"1166","A4",0.25
"1167","G4",0.25
"1168","B4",0.75
"1169","G4",0.25
"1170","B4",0.25
"1171","C5",0.25
"1172","D5",0.25
"1173","E5",0.25
"1174","F5",0.25
"1175","E5",0.25
"1176","D5",0.25
"1177","C5",0.25
"1178","B4",0.25
"1179","G4",0.25
"1180","B4",0.25
"1181","G4",0.25
"1182","F5",0.25
"1183","E5",0.25
"1184","D5",0.25
"1185","C5",0.25
"1186","B4",0.25
"1187","C5",0.25
"1188","D5",0.25
"1189","E5",0.25
"1190","F5",0.25
"1191","E5",0.25
"1192","D5",0.25
"1193","C5",0.25
"1194","D5",0.25
"1195","G5",0.25
"1196","G5",0.25
"1197","G5",0.25
"1198","G4",1
"1199","D4",0.5
"1200","G4",0.5
"1201","A4",0.5
"1202","B4",0.5
"1203","D5",0
"1204","C5",0.5
"1205","B4",0.167
"1206","C5",0.167
"1207","B4",0.167
"1208","A4",0.5
"1209","B4",1.5
"1210","A4",0.5
"1211","B4",0.5
"1212","A4",0.5
"1213","G4",1
"1214","D5",0.5
"1215","C5",0.5
"1216","B4",0.5
"1217","A4",0.5
"1218","B4",0.5
"1219","C5",0.5
"1220","D5",0.5
"1221","B4",1.5
"1222","E5",0.5
"1223","E5",0
"1224","D5",0.5
"1225","C#5",0.5
"1226","D5",1
"1227","D4",0.5
"1228","G4",0.5
"1229","A4",0.5
"1230","B4",0.5
"1231","C5",0.5
"1232","B4",0.25
"1233","C5",0.25
"1234","B4",0.25
"1235","A4",0.25
"1236","B4",1.5
"1237","A4",0.5
"1238","B4",0
"1239","C5",0
"1240","B4",0.5
"1241","A4",0.5
"1242","G4",1
"1243","B4",0.5
"1244","A4",0
"1245","B4",0
"1246","A4",0.5
"1247","G4",0.5
"1248","F#4",0
"1249","G4",0
"1250","F#4",0.5
"1251","D4",0.5
"1252","F#4",0.5
"1253","A4",0.5
"1254","G4",2
"1255","G5",1
"1256","D5",1
"1257","F#4",0.5
"1258","G4",0.5
"1259","B4",0
"1260","A4",0.5
"1261","F#4",0.5
"1262","A4",0
"1263","G4",2
"1264","D5",1
"1265","B4",1
"1266","D4",0.5
"1267","G4",0.5
"1268","B4",0.5
"1269","G4",0.5
"1270","A4",0.167
"1271","B4",0.167
"1272","A4",0.167
"1273","G4",0.5
"1274","B4",0.5
"1275","G4",0.5
"1276","D5",0.5
"1277","C5",0.167
"1278","D5",0.167
"1279","C5",0.167
"1280","B4",0.5
"1281","A4",0.5
"1282","A4",0.167
"1283","B4",0.167
"1284","A4",0.167
"1285","G4",0.5
"1286","B4",0.5
"1287","G4",0.5
