Composer,Title,Attribution Level,Genre,nPVI_Entire,Nine_Eight,pitch_correlation,pitch_entropy,parallel_motion,similar_motion,oblique_motion,FILENAME
Bach_Johann Sebastian,chor043.krn,NA,chorale,99.1776,1,-0.163437549170814,5.39884,0.173913043478261,22.93,53.31,chor043.krn,4.39,4.878,0.976,2.439,0.488,6.341,4.39,5.854,3.902,1.951,0.976,4.878,2.439,2.927,1.951,0.976,0.488,0.488,4.878,0.976,3.415,1.463,0.976,4.878,3.902,4.878,0.488,1.463,0.488,5.366,0.488,3.902,6.341,0.976,3.902,0.488
Bach_Johann Sebastian,chor044.krn,NA,chorale,93.3333,0,0.675320206238935,4.82284,0.39622641509434,27.07,45.11,chor044.krn,2.649,5.96,1.325,5.298,4.636,1.987,6.623,2.649,0.662,6.623,5.96,0.662,0.662,5.298,6.623,3.311,1.325,6.623,5.298,3.311,1.325,4.636,1.325,3.974,3.974,0.662,0.662,0.662,4.636,0.662
Bach_Johann Sebastian,chor045.krn,NA,chorale,29.4738,0,0.105318013945739,5.0019,0.34020618556701,22.31,50.88,chor045.krn,4.545,3.846,0.699,1.049,2.448,1.399,5.245,5.944,1.049,4.895,2.098,0.35,1.399,8.042,1.399,3.147,0.35,0.699,0.699,6.294,1.399,3.846,1.049,3.497,0.35,6.643,4.895,2.448,0.35,1.049,2.797,1.049,3.147,3.846,0.699,1.399,1.748,2.448,1.748
Bach_Johann Sebastian,chor046.krn,NA,chorale,36.5432,0,0.549309325920537,4.90981,0.258620689655172,24.59,44.59,chor046.krn,4.023,2.874,0.575,1.724,1.724,6.322,5.172,1.149,3.448,0.575,0.575,1.149,1.149,6.897,2.299,2.874,0.575,0.575,6.322,0.575,6.322,2.299,1.149,8.621,6.322,2.874,0.575,0.575,0.575,5.747,1.149,2.299,4.598,0.575,1.149,4.023,0.575
Bach_Johann Sebastian,chor047.krn,NA,chorale,87.4396,0,0.866015396653825,4.79215,0.485714285714286,26.89,40.34,chor047.krn,3.271,4.206,0.935,1.869,7.009,5.607,1.869,3.271,0.467,1.402,0.467,0.467,0.467,6.075,1.869,3.738,0.467,0.467,0.467,0.467,5.14,0.935,4.206,1.402,1.869,0.467,2.336,6.075,4.673,3.271,0.467,0.935,4.206,1.402,3.271,5.607,0.935,2.336,4.206,1.402
Bach_Johann Sebastian,chor048.krn,NA,chorale,70.8197,0,0.614539161042982,3.45535,0.253968253968254,17.24,61.44,chor048.krn,7.609,4.348,2.174,1.087,4.891,5.435,1.087,4.348,0.543,0.543,4.891,7.065,3.804,0.543,0.543,0.543,0.543,1.087,3.804,4.348,3.804,1.63,2.174,0.543,3.804,5.978,2.717,0.543,1.087,2.717,1.63,1.087,3.804,2.174,1.63,1.63,3.804
Bach_Johann Sebastian,chor049.krn,NA,chorale,80.5311,0,0.830988004360953,5.33428,0.45679012345679,30.81,43.6,chor049.krn,5.579,0.429,0.429,1.717,1.288,7.296,6.438,0.429,5.579,2.146,1.288,0.858,7.725,0.858,2.575,0.858,0.858,0.429,0.429,5.15,1.717,3.863,0.429,3.004,0.858,0.429,5.579,3.004,3.863,1.717,0.429,0.858,4.292,3.004,6.009,0.429,1.288,0.858,2.575,3.433
Bach_Johann Sebastian,chor050.krn,NA,chorale,107.207,0,0.794408283873963,5.00335,0.36,22.31,48.29,chor050.krn,4.673,5.14,0.467,0.935,2.336,0.935,3.271,5.607,0.467,6.075,0.467,0.467,0.467,0.935,0.935,7.009,2.336,4.206,0.467,0.467,0.467,5.14,6.075,2.336,1.402,0.935,6.075,6.542,4.206,0.467,0.467,0.467,4.673,1.402,3.271,3.738,1.402,2.804,0.467
Bach_Johann Sebastian,chor051.krn,NA,chorale,77.214,0,0.60503452404778,3.74322,0.264705882352941,28.28,43.73,chor051.krn,5.076,4.569,1.015,2.538,2.03,0.508,3.553,5.076,1.523,3.046,0.508,2.538,2.538,4.061,5.076,0.508,0.508,1.015,0.508,6.599,0.508,3.553,1.523,1.015,0.508,1.523,2.03,5.584,4.569,5.584,1.015,0.508,0.508,5.584,4.061,4.061,1.015,3.553,0.508
Bach_Johann Sebastian,chor052.krn,NA,chorale,107.692,1,0.0576079557003603,5.41939,0.25,21.56,54.2,chor052.krn,3.497,5.944,1.049,0.699,0.35,0.35,4.895,4.895,1.049,5.245,1.748,0.35,1.049,4.545,3.846,4.196,0.35,2.098,0.35,0.35,0.699,4.895,4.895,2.098,0.699,1.049,5.594,5.944,3.497,0.699,0.35,0.35,0.35,5.245,2.098,4.196,4.196,0.35,4.895,1.049
Bach_Johann Sebastian,chor053.krn,NA,chorale,76.2501,0,0.577906020593605,4.82595,0.387755102040816,28.17,45.63,chor053.krn,3.268,3.268,0.654,1.307,1.307,1.961,6.536,5.229,2.614,5.229,1.961,7.19,1.961,1.961,1.307,1.307,0.654,1.307,3.922,0.654,4.575,3.268,0.654,0.654,6.536,9.15,1.961,3.268,3.268,6.536,1.961,0.654,1.307,2.614
