Tune	Genre	Mode	Listening/dance	Source	Source type	Source instrument or voice	Location	Date	Original location	Main Region from Appendix B	Subregion from Appendix B	Original tonality	Original tonality directional	modulation_pathway	Modulation_Measures	One_Mode	Mode notes
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski045.krn">45</a>	    Skotshne	G minor	listening	"Slobodskoi, M."	recording	Clarinet	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	G	-	G freygish (I); G minor (i); Bb major (III); G minor (i)	10–17; 18–21; 22–26	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski046.krn">46</a>	    Skotshne	G minor	listening	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	A	Up M2	Bb major (III); G minor (i)	10–13	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski047.krn">47</a>	    Skotshne	G raised fourth	listening	"Makonovetsky, A. E. "	transcription (Makonovetsky)	Violin	Khabno	-	-	Kyiv	Khabno	D	Up P5	G major (I); G raised fourth	13–20	no	"Beregovski groups this with a set of minor tunes, but the opening and closing both imply G raised fourth with prominent C#s and E naturals. "
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski048.krn">48</a>	    Skotshne	G minor	listening	Anonymous	transcription	Violin	Kyiv	1929	-	Unknown	-	-	-	Bb major (III); G minor (i)	18–25	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski049.krn">49</a>	    Freylekhs	G minor	listening	"Cherniavsky, B."	recording	Clarinet	Belaia Tserkov	1935	-	Kyiv	Belaia Tserkov	G	-	Bb major (III)	25–31	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski050.krn">50</a>	    Skotshne	G minor	listening	"Gershfeld, G."	transcription	-	Tiraspol	1937	-	Kyiv	Berdichev	-	-	Bb major (III); G minor (i)	9–17	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski051.krn">51</a>	    Skotshne	G minor	listening		transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	-	-	Bb major (III); G minor (i); Bb major (III); G minor (i)	22–27; 28–29; 30–31	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski052.krn">52</a>	    Skotshne	G minor	listening		transcription	Violin	Tiraspol	1937	-	Kyiv	Berdichev	-	-	Bb major (III); G minor	13–18	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski053.krn">53</a>	    Skotshne	G minor	listening	"Cherniavsky, B."	recording	Clarinet	Belaia Tserkov	1935	-	Kyiv	Belaia Tserkov	G	-	Bb major (III)	9–16	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski054.krn">54</a>	    Skotshne	G raised fourth	listening	"Sakhnovsky, B."	transcription	Violin	-	-	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	G	-	G major (I); G raised fourth (i); G major (I)	18–26; 27–54; 55–72	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski055.krn">55</a>	    Skotshne	G raised fourth	listening	"Sakhnovsky, B."	transcription	Violin	-	-	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	G	-	G freygish (I); C major (IV); G freygish (I)	15–23; 24–31; 32–39	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski056.krn">56</a>	    Skotshne	G raised fourth	listening	"Altman, L. "	transcription	Viola	Tiraspol	1936	-	Kyiv	Berdichev	-	-	G minor (i)	1–8	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski057.krn">57</a>	    Skotshne	G raised fourth	listening	"Cherniavsky, B."	recording	Clarinet	Belaia Tserkov	1935	-	Kyiv	Belaia Tserkov	G	-	G major (I); G raised fourth (i); G major (I); G raised fourth (i); G major (I); G raised fourth (i)	10–25; 26–37; 38–53; 54–73; 74–89	no	
<a  href="https://verovio.humdrum.org/?file=https://raw.githubusercontent.com/shanahdt/mode_in_klezmer/refs/heads/main/corpus/beregovski058.krn">58</a>	    Freylekhs (fun der khupe)	G raised fourth	listening	"Gulerman, Z."	recording	Flute	Kyiv	1935	-	Kyiv	"Boguslav, Brusilov, Zvenigorodka, Korostyshev, Makarov, Uman', or Fastov"	G	-	G minor (i); G raised fourth (i)	17–27	no	
